P,0.00611,0.00813,0.00872,0.00935,0.01072,0.01228,0.01312,0.01402,0.01497,0.01598,0.01705,0.01818,0.01938,0.02064,0.02198,0.02339,0.02487,0.02645,0.0281,0.02985,0.03169,0.03363,0.03567,0.03782,0.04,0.04008,0.04246,0.04496,0.04759,0.05034,0.05324,0.05628,0.05947,0.06,0.06632,0.07384,0.08,0.09593,0.1,0.1235,0.1576,0.1994,0.2,0.2503,0.3,0.3119,0.3858,0.4,0.4739,0.5,0.5783,0.6,0.7,0.7014,0.8,0.8455,0.9,1,1014,1433,1.5,1985,2,2.5,2701,3,3.5,3613,4,4.5,4758,5,6,6178,7,7917,8,9,10,10.02,12.54,15,15.54,19.06,20,23.18,25,27.95,30,33.44,35,39.73,40,45,46.88,50,54.99,60,64.12,70,74.36,80,85.81,90,100,110,112.7,120,130,140,145.9,150,160,170,180,186.5,190,200,220.9
T,0.01,4,5,6,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,28.96,29,30,31,32,33,34,35,36,36.16,38,40,41.51,45,45.81,50,55,60,60.06,65,69.1,70,75,75.87,80,81.33,85,85.94,89.95,90,93.5,95,96.71,99.63,100,110,111.4,120,120.2,127.4,130,133.6,138.9,140,143.6,147.9,150,151.9,158.9,160,165,170,170.4,175.4,179.9,180,190,198.3,200,210,212.4,220,224,230,233.9,240,242.6,250,250.4,257.5,260,264,270,275.6,280,285.9,290,295.1,300,303.4,311.1,318.2,320,324.8,330.9,336.8,340,342.2,347.4,352.4,357.1,360,361.5,365.8,374.1
H,0.01,16.78,20.98,25.20,33.60,42.01,46.20,50.41,54.60,58.80,62.99,67.19,71.38,75.58,79.77,83.96,88.14,92.33,96.52,100.70,104.89,109.07,113.25,117.43,121.46,121.61,125.79,129.97,134.15,138.33,142.50,146.68,150.86,151.53,159.21,167.57,173.88,188.45,191.83,209.33,230.23,251.13,251.40,272.06,289.23,292.98,313.93,317.58,334.91,340.49,355.90,359.86,376.70,376.92,391.66,397.96,405.15,417.46,419.04,461.30,467.11,503.71,504.70,535.37,546.31,561.47,584.33,589.13,604.74,623.25,632.20,640.23,670.56,675.55,697.22,719.21,721.11,742.83,762.81,763.22,807.62,844.84,852.45,897.76,908.79,943.62,962.11,990.12,1008.40,1037.30,1049.80,1085.40,1087.30,1121.90,1134.40,1154.20,1184.50,1213.40,1236.00,1267.00,1289.10,1316.60,1344.00,1363.30,1407.60,1450.10,1461.50,1491.30,1531.50,1571.10,1594.20,1610.50,1650.10,1690.30,1732.00,1760.50,1776.50,1826.30,2099.30
V,0.0010002,0.0010001,0.0010001,0.0010001,0.0010002,0.0010004,0.0010004,0.0010005,0.0010007,0.0010008,0.0010009,0.0010011,0.0010012,0.0010014,0.0010016,0.0010018,0.0010020,0.0010022,0.0010024,0.0010027,0.0010029,0.0010032,0.0010035,0.0010037,0.0010040,0.0010040,0.0010043,0.0010046,0.0010050,0.0010053,0.0010056,0.0010060,0.0010063,0.0010064,0.0010071,0.0010078,0.0010084,0.0010099,0.0010102,0.0010121,0.0010146,0.0010172,0.0010172,0.0010199,0.0010223,0.0010228,0.0010259,0.0010265,0.0010291,0.0010300,0.0010325,0.0010331,0.0010360,0.0010360,0.0010380,0.0010397,0.0010410,0.0010432,0.0010435,0.0010516,0.0010528,0.0010603,0.0010605,0.0010672,0.0010697,0.0010732,0.0010786,0.0010797,0.0010836,0.0010882,0.0010905,0.0010926,0.0011006,0.0011020,0.0011080,0.0011143,0.0011148,0.0011212,0.0011273,0.0011274,0.0011414,0.0011539,0.0011565,0.0011726,0.0011767,0.0011900,0.0011973,0.0012088,0.0012165,0.0012291,0.0012347,0.0012512,0.0012522,0.0012692,0.0012755,0.0012859,0.0013023,0.0013187,0.0013321,0.0013513,0.0013656,0.0013842,0.0014036,0.0014178,0.0014524,0.0014886,0.0014988,0.0015267,0.0015671,0.0016107,0.0016379,0.0016581,0.0017107,0.0017702,0.0018397,0.0018925,0.0019243,0.0020360,0.0031550
S,0.0000,0.0610,0.0761,0.0912,0.1212,0.1510,0.1658,0.1806,0.1953,0.2099,0.2245,0.2390,0.2535,0.2679,0.2823,0.2966,0.3109,0.3251,0.3393,0.3534,0.3674,0.3814,0.3954,0.4093,0.4226,0.4231,0.4369,0.4507,0.4644,0.4781,0.4917,0.5053,0.5188,0.5210,0.5458,0.5725,0.5926,0.6387,0.6493,0.7038,0.7679,0.8312,0.8320,0.8935,0.9439,0.9549,1.0155,1.0259,1.0753,1.0910,1.1343,1.1453,1.1919,1.1925,1.2329,1.2500,1.2695,1.3026,1.3069,1.4185,1.4336,1.5276,1.5301,1.6072,1.6344,1.6718,1.7275,1.7391,1.7766,1.8207,1.8418,1.8607,1.9312,1.9427,1.9922,2.0419,2.0462,2.0946,2.1387,2.1396,2.2359,2.3150,2.3309,2.4248,2.4474,2.5178,2.5547,2.6099,2.6457,2.7015,2.7253,2.7927,2.7964,2.8610,2.8838,2.9202,2.9751,3.0267,3.0668,3.1211,3.1594,3.2068,3.2534,3.2858,3.3596,3.4295,3.4480,3.4962,3.5606,3.6232,3.6594,3.6848,3.7461,3.8079,3.8715,3.9147,3.9388,4.0139,4.4298
E,0.00,16.77,20.97,25.19,33.59,42.00,46.20,50.41,54.60,58.79,62.99,67.18,71.38,75.57,79.76,83.95,88.14,92.32,96.51,100.70,104.88,109.06,113.25,117.42,121.45,121.60,125.78,129.96,134.14,138.32,142.50,146.67,150.85,151.53,159.20,167.56,173.87,188.44,191.82,209.32,230.21,251.11,251.38,272.02,289.20,292.95,313.90,317.53,334.86,340.44,355.84,359.79,376.63,376.85,391.58,397.88,405.06,417.36,418.94,461.14,466.94,503.50,504.49,535.10,546.02,561.15,583.95,588.74,604.31,622.25,631.68,639.68,669.90,674.86,696.44,718.33,720.22,741.83,761.68,762.09,806.19,843.16,850.65,895.53,906.44,940.87,959.11,986.74,1004.80,1033.20,1045.40,1080.40,1082.30,1116.20,1128.40,1147.80,1177.40,1205.40,1227.50,1257.60,1278.90,1305.60,1332.00,1350.50,1393.00,1433.70,1444.60,1473.00,1511.10,1548.60,1570.30,1585.60,1622.70,1660.20,1698.90,1725.20,1739.90,1785.60,2029.60
X,2501.3,2491.9,2489.6,2487.2,2482.5,2477.7,2475.4,2473.0,2470.7,2468.3,2465.9,2463.6,2461.2,2458.8,2456.5,2454.1,2451.8,2449.4,2447.0,2444.7,2442.3,2439.9,2437.6,2435.2,2432.9,2432.8,2430.5,2428.1,2425.7,2423.4,2421.0,2418.6,2416.2,2415.9,2411.5,2406.7,2403.1,2394.8,2392.8,2382.7,2370.7,2358.5,2358.3,2346.2,2336.1,2333.8,2321.4,2319.2,2308.8,2305.4,2296.0,2293.6,2283.3,2283.2,2274.1,2270.2,2265.7,2258.0,2257.0,2230.2,2226.5,2202.6,2201.9,2181.5,2174.2,2163.8,2148.1,2144.7,2133.8,2120.7,2114.3,2108.5,2086.3,2082.6,2066.3,2049.5,2048.0,2031.1,2015.3,2015.0,1978.8,1947.3,1940.7,1900.7,1890.7,1858.5,1841.0,1813.8,1795.7,1766.5,1753.7,1716.2,1714.1,1676.4,1662.5,1640.1,1605.2,1571.0,1543.6,1505.1,1477.1,1441.3,1404.9,1378.9,1317.1,1255.5,1238.6,1193.6,1130.7,1066.5,1027.9,1000.0,930.6,856.9,777.1,720.5,688.0,583.4,0.0
